Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
80.0,12.0,3.0,14.0,7.0
124.0,24.0,12.0,33.0,17.0
30.0,5.0,10.0,6.0,1.0
107.0,30.0,8.0,38.0,14.0
31.0,11.0,13.0,5.0,3.0
5.0,11.0,18.0,7.0,3.0
52.0,26.0,10.0,25.0,11.0
116.0,22.0,9.0,31.0,14.0
38.0,1.0,9.0,3.0,1.0
123.0,20.0,6.0,25.0,14.0
54.0,22.0,7.0,22.0,11.0
3.0,3.0,10.0,5.0,1.0
25.0,7.0,9.0,6.0,1.0
126.0,19.0,7.0,24.0,14.0
128.0,21.0,7.0,32.0,17.0
136.0,20.0,13.0,32.0,20.0
78.0,17.0,8.0,21.0,11.0
106.0,6.0,4.0,21.0,13.0
87.0,20.0,2.0,20.0,9.0
132.0,21.0,7.0,32.0,18.0
35.0,7.0,11.0,2.0,1.0
98.0,8.0,4.0,9.0,7.0
143.0,25.0,11.0,35.0,19.0
49.0,7.0,12.0,4.0,1.0
135.0,33.0,9.0,37.0,19.0
96.0,14.0,8.0,18.0,9.0
100.0,20.0,12.0,36.0,21.0
74.0,21.0,8.0,19.0,9.0
42.0,1.0,11.0,3.0,1.0
85.0,17.0,13.0,21.0,12.0
73.0,18.0,7.0,23.0,8.0
88.0,13.0,9.0,17.0,9.0
83.0,17.0,6.0,27.0,12.0
145.0,24.0,9.0,28.0,19.0
55.0,14.0,7.0,21.0,9.0
70.0,16.0,11.0,24.0,14.0
4.0,7.0,15.0,4.0,1.0
148.0,19.0,13.0,30.0,19.0
27.0,9.0,14.0,5.0,1.0
41.0,2.0,2.0,3.0,2.0
101.0,15.0,6.0,27.0,15.0
142.0,15.0,6.0,27.0,15.0
62.0,17.0,1.0,16.0,6.0
51.0,21.0,11.0,21.0,11.0
21.0,8.0,16.0,5.0,3.0
11.0,5.0,13.0,6.0,1.0
53.0,12.0,2.0,16.0,9.0
45.0,5.0,9.0,4.0,2.0
79.0,14.0,5.0,11.0,6.0
28.0,9.0,13.0,4.0,1.0
13.0,0.0,9.0,1.0,0.0
46.0,8.0,17.0,6.0,1.0
122.0,33.0,7.0,41.0,16.0
90.0,12.0,5.0,20.0,8.0
140.0,24.0,10.0,32.0,20.0
113.0,14.0,4.0,26.0,16.0
26.0,7.0,13.0,6.0,3.0
7.0,7.0,13.0,5.0,1.0
119.0,17.0,1.0,26.0,11.0
82.0,15.0,6.0,15.0,8.0
125.0,29.0,11.0,36.0,14.0
81.0,12.0,3.0,13.0,6.0
104.0,22.0,9.0,34.0,18.0
133.0,20.0,7.0,27.0,11.0
138.0,17.0,9.0,24.0,14.0
86.0,24.0,10.0,23.0,11.0
63.0,18.0,8.0,23.0,10.0
129.0,29.0,9.0,34.0,12.0
64.0,13.0,8.0,12.0,9.0
56.0,20.0,12.0,23.0,12.0
16.0,11.0,18.0,3.0,3.0
92.0,15.0,5.0,16.0,8.0
57.0,6.0,3.0,10.0,6.0
71.0,18.0,7.0,16.0,9.0
61.0,16.0,9.0,18.0,11.0
8.0,1.0,8.0,4.0,1.0
105.0,32.0,9.0,40.0,17.0
75.0,23.0,9.0,20.0,10.0
108.0,24.0,4.0,34.0,14.0
121.0,13.0,7.0,25.0,16.0
95.0,14.0,9.0,18.0,8.0
109.0,29.0,15.0,37.0,21.0
37.0,6.0,10.0,5.0,0.0
120.0,26.0,11.0,33.0,19.0
22.0,3.0,15.0,0.0,1.0
60.0,7.0,0.0,11.0,6.0
137.0,21.0,10.0,31.0,14.0
146.0,20.0,4.0,26.0,15.0
69.0,13.0,4.0,15.0,7.0
50.0,27.0,11.0,23.0,10.0
47.0,3.0,11.0,4.0,1.0
43.0,7.0,14.0,6.0,5.0
99.0,14.0,7.0,17.0,9.0
33.0,12.0,21.0,4.0,1.0
144.0,24.0,12.0,33.0,21.0
118.0,33.0,5.0,42.0,19.0
10.0,11.0,16.0,5.0,1.0
115.0,21.0,11.0,29.0,19.0
44.0,8.0,17.0,8.0,3.0
147.0,22.0,9.0,28.0,16.0
93.0,7.0,2.0,10.0,6.0
18.0,14.0,17.0,7.0,2.0
103.0,20.0,8.0,32.0,14.0
34.0,6.0,10.0,5.0,0.0
20.0,11.0,13.0,7.0,1.0
